@id	name	ele	@lat	@lon
5166826202	Kalvarienberg	528	49.1560977	12.6204797
5176796029	Bernhöhe	605	49.2716636	12.9809471
5176796030	Buchberg	636	49.2736201	12.9733988
5176796031	Spandlberg	662	49.2644744	12.9999204
5176796032	Büschlberg	626	49.2695571	12.9973026
5176796033	Atzelberg	590	49.2530403	12.9936735
5176796034	Ständelberg	595	49.2493304	13.0003333
5176796035	Taschinger Berg	443	49.1919840	12.6635456
5176796036	Pfahlhöhe	459	49.1744221	12.6542275
5176796037	Wiltinger Höhe	477	49.1645289	12.6547004
5176796038	Vogelherd	461	49.1634261	12.6427222
5176796039	Taubenberg	451	49.1653252	12.6337341
5176796040	Giglberg	465	49.1661711	12.6246801
5176796041	Faschaberg	478	49.1694064	12.6232848
5176796042	Geißberg	457	49.1720988	12.6050828
5176796043	Füchsenbuhl	450	49.1689303	12.6103151
5176796044	Lindenberg	416	49.1890432	12.6005493
5179403911	Weinberg	404	49.2075918	12.5837736
5179403912	Sauberg	406	49.2064463	12.5747447
5339642524	Riesensprung		49.1668578	12.1779443
5434460328	Huberriegel	1184	49.1982560	13.1215709
5438329538	Weißmandl	940	49.2474153	12.8924981
5438329539	Wolfsriegel	915	49.2472080	12.9012404
5438329540	Schmidtriegel	915	49.2443179	12.9117946
5439432164	Trettinger Birkenberg	556	49.2596924	12.8492864
5440135922	Pürzerriegel	923	49.2429536	12.9308331
5440135923	Kagerstein	793	49.2351093	12.9690945
5440135924	Brünst	497	49.2771656	12.9396669
5440873965	Hindenburgfelsen	1173	49.1411388	13.1595548
5440873966	Fuchsriegel	978	49.1440873	13.1362017
5481093106	Frauenstein		48.8017055	13.4787791
5481894882	Augustin Kanzel	575	48.8130949	13.5207262
5551151321	Schindelauberg	780	49.2391926	13.0392141
5551151322	Steinbügel	750	49.2494402	13.0516171
5551151323	Oberer Berg	774	49.2414207	13.0206159
5551151324	Vorderer Berg	775	49.2406922	13.0099515
5551151328	Stangenruck	677	49.2830072	13.0271911
5590095744	Stierberg	692	48.7794505	13.2341802
5595776539	Fuchsbühl	431	49.2467761	12.7716475
5595776540	Hohenstein	505	49.2468937	12.7836060
5595776541	Kranewittberg	479	49.2425371	12.7799152
5595776542	Birkenberg	496	49.2552411	12.8204863
5596708112	Weinerberg	599	49.2824821	12.9753930
5689555678	Anis	709	49.0177061	13.1442717
6314498987	Großeilberg	494	49.1491661	12.4664094
6314498988	Schwenkberg	478	49.1471186	12.4539938
6314498990	Zinzenberg	532	49.1413128	12.4633449
6314498991	Mühlberg	475	49.1398680	12.4506166
6314498992	Hohenruck	516	49.1406156	12.4389028
6314498993	Bügel	545	49.1528971	12.4040090
6314498994	Hammühlberg	535	49.1548264	12.4084512
6314498995	Ochsenberg	535	49.1536031	12.4235870
6314498996	Tannberg	505	49.1565683	12.4201171
6314498997	Geiselberg	550	49.1495669	12.4213850
6314498998	Hohe Wart	530	49.1443802	12.4209975
6314508732	Plattenberg	621	49.1245381	12.3747865
6314508733	Dangelsdorfer Berg	605	49.1347840	12.3608031
6314508734	Striegelberg	571	49.1274662	12.3501388
6314508735	Grubberg	583	49.1318309	12.3539731
6315435069	Eicherlberg	559	49.1556572	12.3917049
6315435070	Steinberg	582	49.1574218	12.3747272
6315435071	Hirtenberg	593	49.1387323	12.3472926
6637237138	Hofberg	688	49.0645424	12.8225489
6738423245	Hiermesbügel	650	48.9969731	13.1921339
6766980880	Wacht	507	49.0869504	12.8743666
7280161690	Buchaberg	593	48.9578661	12.7586805
7452948345	Ödriegel	1154	49.1586561	13.0249647
7452948346	Hängender Riegel	1183	49.1504372	13.0564589
7840768981	Nanzelberg	692	48.6993217	13.8025613
7954388046	Hochstein		48.7647430	13.6948783
7972230710	Hoher Filzberg	1279	48.9367145	13.5210641
8532601693	Sommerberg	814	49.0364331	12.7473026
8569819697	Gsteinachhöhe	786	49.0709112	12.8419805
8590098510	Erlenberg	402	48.6152527	13.2922924
8590098511	Kehlberg	462	48.6280566	13.2999515
8590098512	Ebersberg	560	48.6393610	13.3015743
8590098513	Kühberg	428	48.6365607	13.2736962
8620915790	Kühberg	855	48.6232180	13.7082724
8663161765	Rechenberg	423	48.7214374	13.0993491
9162344995	Büchelberg	502	48.6613780	13.2638827
9196153697	Steinberg	1000	48.9114981	13.0003300
9269928112	Kastenberg	386	48.6150311	13.3866022
9282812853	Hochoberndorfer Berg	806.7	48.8781394	12.9930559
9290721329	Hochberg	801	48.8744024	13.1233516
9293796971	Steinriegel	819	48.8755134	13.0941607
9357124354	Geißberg	388	48.8394916	12.9676309
9573743166	Klingerberg	637	49.0818338	12.5509557
9687638994	Dreihiasl	654	48.6966004	13.8195811
9705924219	Hirschenkopf	980	48.8912703	13.0459320
9705949303	Schergenhöhe	924	48.8819981	13.0343006
9920600097	Schwarzer Dachsberg	481	48.9873931	12.7032577
9920801944	Kirnhöhe	468	48.9800149	12.7122376
9921378786	Schützberg	477	49.0106303	12.6761641
9951402029	Winterberg	728	49.0157295	12.7366707
9951402030	Loider Höhe	724	49.0129421	12.7391646
10540144144	Zillberg	829	48.7552160	13.7027891
10751947660	Sollerberg	716	48.9013880	12.9885220
10763675182	Scheuerberg	756	48.8847515	12.9960108
10764132464	Bembichel	724	48.8868786	13.0900866
10764132472	Steinberg	919	48.8882895	13.0596220
10764160961	Kleiner Riedstein	759	48.9133056	13.0643320
10764160962	Schachel	751	48.9120858	13.0734837
10764160963	Bärnstein	709	48.9136159	13.0810583
10764161048	Wimmesbichel	728	48.9007709	13.0736554
10764697556	Blattenbigel	627	48.9663855	12.9915047
10764697620	Kühberg	768	48.9580523	13.0048406
10764697987	Hieselberg	696	48.9144197	13.0960089
10772132881	Bumsenberg	783	48.9577987	13.0167282
10777029896	Mühlberg	662	48.9295696	13.0855322
10777029897	Schachenfeld	725	48.9208285	13.0857575
10777129107	Schloßberg	666	48.9099915	13.1098920
10777129108	Ochsenberg	600	48.9265174	13.1101763
10777129137	Pfefferberg	613	48.9174726	13.1076658
10777129152	Brechhausberg	635	48.9515638	13.0858326
10777129154	Riedberg	576	48.9608278	13.0980635
