name,ele,latitude,longitude
Schusterstein,998,48.989223,12.8951903
Ochsenberg,,49.000016,13.1794302
Mühlberg,,49.0069684,13.1802158
Unterdorfer Berg,,49.0028314,13.1432312
Galgenberg,,48.9815288,13.1166666
Abendberg,,48.989161,13.1038134
Kühberg,,48.9747123,13.1077831
Hochstein,1134,49.1236936,13.0641426
Weißer Riegel,1093,49.2147288,13.1144343
Hohes Kreuz,,49.0084291,13.0372816
Vormittagberg,,49.0240768,13.0288273
Bernhardsnagel,896,49.0538336,12.7974831
Haibühler Spitz,1047,49.1631148,13.0265857
Haidstein,742,49.2160822,12.8065002
Hindenburgkanzel,1062,49.1472222,13.1572222
Hörndl,1015,49.1420189,13.0897298
Wagnerspitze,1125,49.1376826,13.1466086
Stallriegel,1228,49.1086495,13.1468493
Birkenberg,457,49.1133141,12.8734666
Distelberg,641,49.0718398,12.8567351
Riesberg,882,49.0929436,12.9649528
Kleiner Riedelstein,1042,49.1613125,12.974748
Förchenbichel,748,49.0737042,12.8320742
Kastenstein,822,49.0493887,12.8309023
Kleines Hochgrainet,820,48.9784846,13.2198435
Schwarzriegel,1079,49.2336945,12.9356052
Kohlriegel,957,49.2418162,12.9037996
Hochberg,941,49.1079434,13.2062999
Drähberg,920,49.1142192,13.2217967
Plattenriegel,1050,49.1268435,13.0458981
Spitzberg,1058,49.1301691,13.1120544
Maxfelsen,1138,49.1947024,13.1324031
Maly Kokrháč,1169,49.1906293,13.1371358
Am Knöchel,,49.1893925,13.1360916
Urberberg,614,48.979133,12.7852738
Weigelsberg,898,49.0991072,12.9600509
Hahnenriegel,1108,49.0701329,13.1578244
Mittagsplatzl,1340,49.093397,13.1428476
Rote Höhe,1050,49.0601635,13.1793388
Brandtner Riegel,993,49.0571097,13.1340578
Riebenzingriegel,,49.2284712,12.9308205
Zwieselberg,,49.0040178,13.2126805
Degenberg,,48.9329853,12.8292497
Leitenwaldhöhe,808,48.9874629,13.2400056
Pfarrerberg,672,49.0586241,12.985393
Asberg,778,48.9785582,13.2134709
Glasberg,676,49.0009734,13.2309323
Spitzberg,810,49.0157073,12.9405198
Kühberg,643,49.0394547,12.9645389
Teufelsfelsen,410,48.9691622,12.6820345
Rote Marter,516,49.2025805,12.7108444
Riederberg,,49.1416833,12.8551079
Rotes Kreuz,903,49.2323334,13.0568058
Hochstätter,1084,49.1374752,13.0890264
Auf der Schanz,757,49.2534585,13.049184
Burgstein,830,48.9337549,12.9053977
Farrenruck,979,49.2410441,12.9155616
Sattel,,49.2074908,13.086599
Oberberg,833,49.0128939,13.1338318
Riedstein,745,48.9381768,13.2396828
Hochfels,875,49.1138305,13.201203
Egidi-Buckel,,49.0090297,12.8074193
Kopfriegel,,49.109989,13.1599046
Schneiderberg,1015,49.141771,13.1002423
Sphinx,974,49.1452531,13.0902383
Bärenriegel,1175,49.1373421,13.0762288
Sollerberg,886,49.1429779,13.1150216
Traillingriegel,862,49.1778606,13.0348769
Bölmersberg,675,49.0407014,13.055525
Ochsenberg,547,49.0519099,13.0540752
Ochsenberg,581,49.0611207,12.9990015
Hoher Stein,705,49.2716797,13.027273
Brändriegel,705,49.2666499,13.0259899
Köpfelsberg,671,49.1325322,12.6861947
Weissenstein,681,49.1312066,12.6834855
Schlossberg,700,49.2378054,12.8775674
Riegelholzberg,653,49.2225744,12.858335
Kühleite,704,49.0480486,12.6840361
Blumerberg,684,49.0479125,12.695228
Schlossberg (Runding),543,49.21785,12.762487
Lamberg,602,49.1991128,12.7187722
Kleiner Roßberg,646,49.1909334,12.7677694
Hungerberg,615,49.0581381,12.6800738
Distelberg,471,49.1935003,12.6957617
Achatsbuckel,518,49.1927235,12.7121142
Bernhöhe,605,49.2716636,12.9809471
Buchberg,636,49.2736201,12.9733988
Spandlberg,662,49.2644744,12.9999204
Büschlberg,626,49.2695571,12.9973026
Atzelberg,590,49.2530403,12.9936735
Ständelberg,595,49.2493304,13.0003333
Huberriegel,1184,49.198256,13.1215709
Weißmandl,940,49.2474153,12.8924981
Wolfsriegel,915,49.247208,12.9012404
Schmidtriegel,915,49.2443179,12.9117946
Trettinger Birkenberg,556,49.2596924,12.8492864
Pürzerriegel,923,49.2429536,12.9308331
Kagerstein,793,49.2351093,12.9690945
Brünst,497,49.2771656,12.9396669
Hindenburgfelsen,1173,49.1411388,13.1595548
Fuchsriegel,978,49.1440873,13.1362017
Schindelauberg,780,49.2391926,13.0392141
Steinbügel,750,49.2494402,13.0516171
Oberer Berg,774,49.2414207,13.0206159
Vorderer Berg,775,49.2406922,13.0099515
Stangenruck,677,49.2830072,13.0271911
Fuchsbühl,431,49.2467761,12.7716475
Hohenstein,505,49.2468937,12.783606
Kranewittberg,479,49.2425371,12.7799152
Birkenberg,496,49.2552411,12.8204863
Weinerberg,599,49.2824821,12.975393
Anis,709,49.0177061,13.1442717
Hofberg,688,49.0645424,12.8225489
Hiermesbügel,650,48.9969731,13.1921339
Wacht,507,49.0869504,12.8743666
Buchaberg,593,48.9578661,12.7586805
Ödriegel,1154,49.1586561,13.0249647
Hängender Riegel,1183,49.1504372,13.0564589
Sommerberg,814,49.0364331,12.7473026
Gsteinachhöhe,786,49.0709112,12.8419805
Steinberg,1000,48.9114981,13.00033
Schwarzer Dachsberg,481,48.9873931,12.7032577
Kirnhöhe,468,48.9800149,12.7122376
Schützberg,477,49.0106303,12.6761641
Winterberg,728,49.0157295,12.7366707
Loider Höhe,724,49.0129421,12.7391646
Kleiner Riedstein,759,48.9133056,13.064332
Schachel,751,48.9120858,13.0734837
Bärnstein,709,48.9136159,13.0810583
Blattenbigel,627,48.9663855,12.9915047
Kühberg,768,48.9580523,13.0048406
Hieselberg,696,48.9144197,13.0960089
Bumsenberg,783,48.9577987,13.0167282
Mühlberg,662,48.9295696,13.0855322
Schachenfeld,725,48.9208285,13.0857575
Schloßberg,666,48.9099915,13.109892
Ochsenberg,600,48.9265174,13.1101763
Pfefferberg,613,48.9174726,13.1076658
Brechhausberg,635,48.9515638,13.0858326
Riedberg,576,48.9608278,13.0980635
Gemeindeberg,621,48.95658,13.0840087
Schloßberg,602,48.9457578,13.0947643
Kirchberg,675,48.975182,12.9357469
Lindenauer Berg,690,48.960856,12.9323137
Achslacher Berg,696,48.9674983,12.9475379
Hochgartenberg,675,48.9578128,12.9563302
Eisberg,717,48.9631876,12.9422271
Kühberg,392,48.9031935,12.8664601
Riedberg,999,48.9442217,12.9019779
Sollenberg,774,48.9688647,12.9043114
Kühberg,942,48.9763229,12.8960287
Farrenbühl,646,48.9590949,12.9206729
Geißberg,909,48.9924326,12.9081953
Oberer Berg,811,48.9640752,12.8473306
Höhenberg,690,48.9261333,12.8570831
Rettenbacher Leiten,740,48.9764795,12.8454934
1032,,48.9899193,12.8730489
Dachsberg,812,48.9820935,12.8547281
Weizriegel,690,49.007468,13.1201247
Scheuchenberg,540,49.0264545,12.2560197
Hohenstein,,49.1949659,12.1852712
Sallerner Berg,390,49.042046,12.1074857
Jugenberg,610,49.1856668,12.2178899
Hoher Stein,584,49.1207787,12.2164079
Peilstein,,49.2128257,12.1743103
Franzenshöhe,,49.2127047,12.176004
Mühlberg,408,49.0548181,12.1126898
Helfenstein,,49.1495982,12.4085625
Großer Pfaffenstein,515,49.1685707,12.3603203
Zeitlberg,410,49.0692697,12.1109635
Büscherl,740,49.02673,12.5536376
Hohenried,679,49.0345779,12.5811028
Hadriwa,677,49.1220595,12.4001082
Hoher Fels,652,49.1203874,12.3761635
Hetzenbacher Höhe,,49.1338544,12.3858029
Garbuckel,323,48.9235396,12.6035176
Herrnberg,399,49.0036671,12.401892
Lerchenhaube,446,49.0049702,12.3925833
Gschwellberg,443,49.010578,12.4164764
Hirschbuckel,510,49.0059544,12.4283247
Jägerbuckel,407,49.0115778,12.4104729
Schloßberg,380,48.9999996,12.4030169
Sauberg,443,49.0138802,12.4006272
Semmelberg,,49.1064846,12.4550015
Kühberg,525,48.9995899,12.5972608
Schloßberg,436,49.1261275,12.1330575
Altweiherhöhe,601,49.0587289,12.3129608
Keilstein,450,49.0326625,12.1541154
Schweinsberg,609,49.1140618,12.4923957
Haiberberg,584,49.1527182,12.5245238
Steinberg,,49.0139967,12.6004989
Schlossberg,565,49.1469943,12.4084945
Lauberberg,594,49.1056378,12.4727699
Traubenberg,519,49.2114371,12.5584931
Längseigenberg,642,49.1361771,12.6250954
Fundberg,616,49.1301558,12.6167824
Hohenstein,557,49.1504379,12.5737735
Koppenberg,553,49.1529269,12.572204
Spangelberg,632,49.0162402,12.5500206
Kobelberg,698,49.0106589,12.5179149
Kobelberg,703,49.0139059,12.519463
Viechtberg,696,49.0520746,12.5630933
Ochsenberg,687,49.048148,12.5903096
Pilgramsberg,619,49.0355836,12.611746
Kirchenberg,624,49.0380994,12.6088865
Neundelberg,652,49.0480666,12.6064745
Oberer Berg,688,49.0527503,12.5988915
Riesberg,602,49.0601119,12.608616
Heizerberg,659,49.0692462,12.574033
Steinriegel,654,49.0924071,12.5723909
Steinriegel,416,49.2170625,12.5419501
Riedberg,435,49.184648,12.5998858
Kühberg,463,49.1770166,12.6099045
Weinberg,432,49.1811291,12.6224771
Rauchenberg,599,49.1527669,12.629227
Tratthöhe,557,49.1469527,12.6248731
Bauenberg,532,49.1471722,12.617314
Einfaltsberg,461,49.1349284,12.6508672
Schanzenberg,472,49.1485229,12.6538813
Tränkberg,521,49.1456086,12.6675327
Eichhänge,655,49.0373536,12.5883221
Keilberg,476,49.039036,12.1722781
Reisberg,449,49.1480507,12.6028452
Tragelberg,470,49.1707088,12.6533791
Uhrberg,566,49.1390665,12.6337998
Wilde Leite,510,49.1344883,12.6434645
Plattenberg,499,49.1605332,12.5726461
Gruberberg,502,49.165831,12.564916
Eckenberg,483,49.1847478,12.559268
Teufelsmauer (bei Radling),447,49.1885842,12.6272772
Teufelsmauer,434,49.1944161,12.6166071
Pfahl (bei Ried am Pfahl),421,49.2005769,12.6034943
Mühlberg,402,49.1851704,12.6160267
Kalvarienberg,528,49.1560977,12.6204797
Taschinger Berg,443,49.191984,12.6635456
Pfahlhöhe,459,49.1744221,12.6542275
Wiltinger Höhe,477,49.1645289,12.6547004
Vogelherd,461,49.1634261,12.6427222
Taubenberg,451,49.1653252,12.6337341
Giglberg,465,49.1661711,12.6246801
Faschaberg,478,49.1694064,12.6232848
Geißberg,457,49.1720988,12.6050828
Füchsenbuhl,450,49.1689303,12.6103151
Lindenberg,416,49.1890432,12.6005493
Weinberg,404,49.2075918,12.5837736
Sauberg,406,49.2064463,12.5747447
Riesensprung,,49.1668578,12.1779443
Großeilberg,494,49.1491661,12.4664094
Schwenkberg,478,49.1471186,12.4539938
Zinzenberg,532,49.1413128,12.4633449
Mühlberg,475,49.139868,12.4506166
Hohenruck,516,49.1406156,12.4389028
Bügel,545,49.1528971,12.404009
Hammühlberg,535,49.1548264,12.4084512
Ochsenberg,535,49.1536031,12.423587
Tannberg,505,49.1565683,12.4201171
Geiselberg,550,49.1495669,12.421385
Hohe Wart,530,49.1443802,12.4209975
Plattenberg,621,49.1245381,12.3747865
Dangelsdorfer Berg,605,49.134784,12.3608031
Striegelberg,571,49.1274662,12.3501388
Grubberg,583,49.1318309,12.3539731
Eicherlberg,559,49.1556572,12.3917049
Steinberg,582,49.1574218,12.3747272
Hirtenberg,593,49.1387323,12.3472926
Klingerberg,637,49.0818338,12.5509557
